conf, # of clusters, 1k (found), 2k (found), 4k (found), 8k (found), 16k (found), 32k (found)
1, 1, 8482.25, 10039.57, 11300.66, 11470.88, 14846.84, 19083.1
2, 2, 368281.24, 720604.96, 1275084.5, 2085047.22, 3852747.16, 8587058.23
2, 4, 217798.97, 379265.32, 670234.29, 1098551.34, 2011590.33, 3883652.88
2, 6, 155857.69, 290988.51, 454416.89, 749725.36, 1418453.38, 2609316.94
3, 1, 707575.31, 1328942.3, 2350351.05, 4223590.24, 8744345.19, 22661807.49
4, 1, 7752.14, 7784.48, 9107.66, 10695.02, 12556.37, 14417.62
5, 2, 345910.07, 651301.14, 1202757.32, 1997360.34, 3705752.73, 8357818.08
5, 4, 202898.76, 345971.39, 615068.7, 1070390.1, 1957990.86, 3651093.79
5, 6, 137904.7, 229284.09, 430586.25, 682615.13, 1298360.96, 2417160.88
6, 1, 672630.91, 1281732.51, 2159423.94, 3830969.19, 8677987.91, 21311386.06
